,0,TextBlob (mean),Human Annotation
960,maybe she is the only one who had yahoo entender which make sense because maddie wa in a good relationship so why would she be on tinder so again everybody is jumping the gun here thinking it wa kaylee who wa the target when again common sense she did not live in the house anymore neither did ethan ethan never live there so if you went to that house who do you think the target would be my brain tell me it wa maddie the only reason anybody think it wa kaylee is because of her dad when he went on the medium to work and he told everybody that is his daughter wa the target,,
961,i know why they asked for kaylee is first because the father had everyone thinking she wa the target but she wa not cuz she did not even live in the damn house anymore it wa maddie who wa the target maybe maddie and zaina but definitely maddie definitely not ethan and definitely not kaylee,,
962,wow,,
963,really appreciate your video and thank you for the time you spend bringing them to u just wanted to let you know,,
964,very very interesting information,,
965,thanks,,
966,can not say anything for certain but you did ask why did they put in different info in any particular order perhaps it is in the order they believe in which the kid were murdered if so it would make sense to go in order of being attacked that horrible early morning of november 13 2023 but i am not an investigator only using a bit of common sense it certainly is not me having anything more than something that make sense to me hopefully we will all learn why and who beyond a reasonable doubt or at least enough to help the family to find some closure also the people both here in our country a well a folk following this mass killing since the story broke to get some kind of closure too at the end of the day my old lady self will never understand the why because everything about this is just wrong a sick mind four young life gone in le than twenty min supposedly by a single man so many question yet currently so very few answer the not knowing is why this story continues to be spoken of here four month later people are killed every day in this country and other country around the world yet it is this story that folk have continued to follow i think folk are trying to understand the why why them kid because a person with a sick mind decided to make it so we all have our opinion i am sure however if bck is found guilty and he stood before all of u and actually told u why he did it we would not know much more than what we knew before that whomever it is that did this is a very sick person a narcissistic very likely person a person that suffers from very bad mental health issue beyond the pale,,
967,i noticed it keep being said it conflicting info on if ethan wa found dead on the floor in front of the door or in the bed with zana maybe he wa approached in the hallway or door way his throat slit and stabbed then we know zana wa killed last but what if ethan bleed out slower and after brain left he found a way to get to zana on the bed possibly i believe they were still awake and were approached separately and killed or slashed and stabbed separately this is mainly because of the time frame and that there wa not that much screaming the other two girl were surprised that is why there wa not that much screaming from them but he might of known how to cut there throat to silence them a much a possible i also think it wa so dark that she dylan verily had her door opened just enough to peep out and she did not really know what wa going on she wa up so late nearly 5 am she probably just went back to bed and im slept in until the friend came over and that is why ethan is friend wa the one to find him amp cheek for a pulse if he wa found in or around the bed ethan could have tried to get to zana before he died and might be why the report conflicting,,
968,i heard they asked for kaylee is first bc her family told them she wa so gle and went on a date i also heard they did not ask for maddie is snapchat for the same time frame because she deleted her acct,,
969,amazing video tyler and great job sleuthie wow,,
970,i think it is kaylee bc that wa her last weekend there,,
971,in a nutshell we are talking about sex date that escalated into murder,,
972,it is well known that snapchat is an inofficial cheating app because no one expects it there you go madison,,
973,so kaylee and maddie were social butterfly aka sexting little cheater why else would they have boyfriend and tinder at the same time 3 week of seperation do not count,,
974,probably looked into kaylee first because of her wound and the rumour of her having a stalker,,
975,my thought they had no suspect until 12 23 what happened just before 12 23 i think but not sure about these date the convenience store gal saw the white elantra drive by turned it in then police ask the public to look for a white elantra which propelled the university guy to cross check all student with a white elantra bk came up fit dm is description and ta da still so happy that bk thought he wa so smart to outwit everyone and one convenience store gal is curiosity did him in,,
976,according to le in an interview th chief did he wa a suspect a little over a week after the murder,,
977,with all video cam on the street house store u can not hide these day every murder is easily solved thats why u do not have mass serial killer doing it for year like back in the 2000s or earlier i watch alot of id channel lol imagine if that king 1122 party house had an inside camera i know most private house have camera security but i think those student were doing drug and booze underage so prolly not good to have cam,,
978,remember there a gag order so i bet they got ton of more stuff on bk treasure trove on his computer phone etc plus they prolly got all the dna stuff from his car and apartment dog hair they know who he dmd on ig all his tinder app stuff prolly had kaylees of page member etc basically all his digital footprint he fukcd lol,,
979,why are you so invested in this tyler,,
980,thank you tyler,,
981,yes you really are an amazing person with heart of gold a i have heard so many others say about you a well i am just so happy and thankful that the lord lead me to your channel there are so many people out there that give their opinion which they state a fact and with you i know what i getting will be the truth when i get a little heated a a result of the fake drama i just stop and remember my favorite prayer the lord is my shepherd i shall not want he maketh me to lie down in green pasture he leadeth me beside the still water is he restoreth my soul he lead me in the path of righteousness for his name sake yea though i walk through the valley of the shadow of death i will fear no evil thy rod and thy staff they comfort me thou prepareth a table before me in the presence of mine enemy thou annoiteth my head with oil my cup runneth over surely goodness and mercy shall follow me all the day of my life and i will dwell in the house of the lord forever amen,,
982,all of this will paint a story for the prosecution,,
983,your awesome tyler just in case you ever forget,,
984,bro no detail have been released thought you had more integrity then this you are lying to your viewer by telling them there are detail do better tyler it wa simply redacted warrant so pathetic,,
985,i think they possibly asked for kaylee is first because i believe and i could be wrong that her family unlocked her phone for le pretty much straight away so they knew the apps she had first just a thought,,
986,the thing we need to remember is sometimes when these horrible hint happen sometimes we do not get the answer we want,,
987,how much money do you make off these video do you think that is fair to me victim and their family your a man of god i wonder what he think,,
988,doe anybody know what social medium acct all of the writing by the rodgers person also did not the same rodgers guy also write the manifesto using a similar name only the spelling wa different,,
989,you seem to think that filing the other warrant the next day mean something it mean they were busy and requesting a ton of warrant that is it them being processsed and signed off within a few day is totally normal have you ever worked in an office anywhere with a large workload ever heard of a judge only having time to review some warrant one day then getting back to it when they have time the next day lol,,
990,,,
991,how can ya believe fox news,,
992,because they show both side wake up and stop being a follower of hater,,
993,wa not maddie in a relationship wonder why she had a tinder,,
994,either she wa single and a mistake wa made in reporting or she wa the type of person who doe unsavory thing while in a relationship it could easily be either one,,
995,kaylee wa the only single one so maybe thats why they only requested her tinder at first i do not think maddies would have any recent match,,
996,everyone forgets that they had other people they were looking into before bk they looked into the two men that were stalking kaylee along with her boyfriend jake and a couple others not everything is all bk lol warrant for certain thing also help corroborate people of interest story it is always important to look at date for a lot of these warrant a lot went out even before bk wa on their radar,,
997,maddie wa the target she wa there during the summer when the others were not and kaylee had already left school people are just going by the info kaylee is dad claimed she wa being stalked and then he backtracked i can not see bk stalking her she wa louder and assertive and i think she would have intimidated him maddie would be more the type that would be stalked they started the search on kaylee because her dad talked the most and claimed the most the other victim injury would not be revealed to him so not sure how he can claim his daughter is were worse although i think it would have angered bk to find her in the room with maddie,,
998,i read a le statement somewhere that kaylee originally wa not in maddie is room but placed on the bed next to her after the murder,,
999,re unknown redacted info the other unnamed person on the lease,,
1000,great work tyler,,
1001,wa this just released,,
1002,if i had to guess who the ppl are you obviously have the 4 victim 2 survivor bk and bk is mom and dad bc it would make sense that they would check for all bank and cash apps to see if there is a connection between anyone i think it make sense that they would check all bank credit card cash app for bk parent in case they have an acct for bk to access while he is across the country at school the two survivor bc they needed to rule them out a suspect also 8 48,,
1003,tyler your commitment and mood,,
1004,moral of the story do not get murdered and do not be a suspect all of your skeleton in your closet get revealed,,
1005,moral of the story try and live a life without cupboard or skeleton,,
1006,also if you are a drifter living out of your car going from one place to the next and killing at random and every few month year you have a much better chance of getting away with it,,
1007,this wa an interesting video,,
1008,there must be another molly conrad my apology,,
1009,problem here is there is so much redacted info it may actually tell a much different story than what we are being told by le and the prosecution redacted person 1 2 and 3 could be other suspect and there is no indication in these document that bryan k had any contact in person or social medium with any of the victim additionally no evidence they found proof anyone bryan or anyone else purchased a kabar knife to me it look like the prosecution is trying to make it look like they have a lot of evidence but all this revealed is request for evidence the request may not have uncovered much if anything important,,
1010,meaning that kyle is not the only one they consider a a target they want to research maddie,,
1011,buddy get the hat off and have a shave honestly you youtube sleuth are your own worst enemy also set up a better background rmbr everyone ha these doc what is making your vlog unique nothing,,
1012,wow you are very judgmental of my appearance,,
1013,you are a weasel only two definition for weasel in the english dictionary if you can count higher than two you will figure which one you are,,
1014,huh,,
1015,it would be nice if you cover shanquella robinson case who wa murdered by a friend on a vacation in mexico,,
1016,that case wa so sad,,
1017,tyler feller thanks,,
1018,i will look into it,,
1019,did the cop request the onlyfans page this may be super important,,
1020,tree huggahi agree i believe there is a lot going on with their only fan page,,
1021,tyler feller isnt that i big part of this due to the deceased were model for that thank you kindly for the reply much respect,,
1022,it doe not say that they did,,
1023,can you spell sloopy goosey not finding her on twitter,,
1024,i linked her twitter in the description of this video,,
1025,maybe by requesting tinder they can find out how often brian wa near the woman i do not know if they can do that or not just a thought,,
1026,crystal sometimes girl just want to have fun,,
1027,unless maddie made the tinder for kaylee to defend her on tinder w this guy,,
1028,on another video kaylee matched and on date from tinder and then same guy matched w maddie why would maddie be on tinder wa not she in a serious relationship,,
1029,thanks for this,,
1030,kaylee being the target did not make sense cause it wa not her room and she did not live there anymore tinder is done by location so he could sit outside and match to all them if they were all on tinder,,
1031,she posted on social medium that she would be in town that weekend also he went to her room first before going to maddie is room we may never know who the target wa unless le ha a strong digital footprint that point to one person most of the affidavit were before kohberger wa a suspect so it is possible le wa trying to find a suspect before the dna on the knife sheath pointed to him,,
1032,i think you are right it seemed to me he wa just being methodical i would be surprised if he left any kind of computer trail evidently he felt clever enough to keep his cell instead of turning it off smashing it up or chucking it for a new one he had all that study training focus on tech to solve heinous crime for year after college so it would only be an act of god to make him leave inadvertently a trail incriminating proof positive evidence on his own would not it if he did he probably will take a plea or at least avoid a trial i am guessing if the thrill notoriety and sick satisfaction he would seem to want by leaving such damning evidence wa only to get caught it could be because he failed in plan to kill all 6 in that house top to bottom and he felt nothing after doing 4 know he need to be put away or out the guy seems self aware disciplined and possibly some pang for what he is putting his entire family through for so little if anything more than a momentary excitement vengeance imagined retribution for just a miniscule a any lasting feeling he may have been seeking by causing such horrible pain fear sadness xana is and family loss to people who did not know him well enough to actually reject him so much a just be turned off at first of his effort to meet them well if guy or girl gave up after being initially rejected maybe half of marriage would not have happened right i hope he give up the ghost while waiting if he is the actual perp if his attorney have a good defense it will be interesting to see if broadcast it is got ta feature that 8hr delay in calling police calling too many others first and some of them showing up long before they arrive and any proof they can come up with about what wa actually going on at that party house and what kaylee is role wa in running it motive so far is weak unprovable and prosecution need a strong one,,
1033,brah you lost me at fox news,,
1034,grace,,
1035,punasquirrel i have a better idea why do not i stick my red white and blue foot up your rainbow twinkie dollardollar and here you are all trolling on american issue stfu,,
1036,grace nope because i do not watch american propaganda like cnn fox newsmax or newsnation get your red white and blue head out of your s,,
1037,because you only watch cnn fake news,,
1038,thank god america is the land where ur innocent until proven guilty lmfao that is wa a joke btw,,
1039,why idaho department of labor,,
1040,employment record w 2,,
1041,ok i got it now thank you tyler,,
1042,tyler the drunk turkey said they found kaylees phone what do they mean,,
1043,gina wilken they never said they had her phone they said they were able to access her account because they all know each other password etc the family,,
1044,pretty sure he made a mistake and apologized for saying that i know kayakers parent had access to her phone or the info on it and it wa never missing,,
1045,this is not nice of me to say but i think it would have been hilarious of one of the police officer escorting him tripped him on accident it would be a full faceplant with all of the shackle on lmaoooo,,
1046,lol,,
1047,remember kaylee wa heard saying someone is here i am guessing rain got a fight from kaylee maybe he wa attacking maddie so hirribje it nearly could make one never be open to meeting being in public place many evil people but this wa worse than a movie,,
1048,no xana fought put up a fight nothing suggests kaylee did kaylee wa believed to be asleep xana had defensive wound,,
1049,rain,,
1050,do we think the 5 redacted are dm bf bk amp bk is mom and dad,,
1051,good guess,,
1052,i think at first they thought kaylee wa the target and maybe since time passed maybe a new target,,
1053,i think madi wa his target and kaylie heard something going on so she left her room and left her dog in her room shutting the door and went in madis room and gave some fight and thats why she got it worse then ethan blindsided and xana seen it and wa seen by the guy and he said im going to help you so she didnt scream then it so horrible and sad,,
1054,breathe and squeeze there wa still her bed and some box with some of her thing in them those were going with her to texas,,
1055,kindered spirit yes that is exactly what he said and they were in maddie is bedroom in the same bed,,
1056,shannan beauleu i agree with you too i really believe that maddie wa the target break my heart for them and their family,,
1057,pam todd i think that maddie wa the target too so sad for all of them and their family,,
1058,rhonda sisco cleveland her bed and some box were still there at the house her dad and boyfriend jack were going to move them for her,,
1059,the order or the target s of this horrible crime do not matter to me anymore i just want to know the why why would someone want to hurt them it so sad,,
1060,elanora i think he had his mind on 1 girl which in no way make it her fault he is a phsycho but had plan on taking the other girl that lived there out also if need be knowing they all had there own individual room not planning on ethan being there my other theory is something happened to ethan and xania on there way back from the frat house which explains the time gap that wa first being inquired about at the start by le on them it doe not seem at all possible now but i sure wish they all had been sleeping and did not know what wa coming love peace amp stregth to these famalies also leaning towards at least 2 other accomplice,,
1061,dawn draper i meant the detective who were investigating,,
1062,elanora who is they are you hinting at that you think that there is more than one perpetrator,,
1063,wa not kaylee phone missing,,
1064,also the order ha to start with someone so if they started with ethan then would people assume he wa the target i do not think it make a difference personally i feel maddie wa the target,,
1065,great work much easier to understand,,
1066,tonight wa a great live stream i fell asleep not use to the time change god bless you,,
1067,do you think different detective were investigating different victim and focused in different timeline direction,,
1068,i am curious if that girl that claimed she went on a tinder date with bk wa true i believed her but there were a lot of people that did not,,
1069,i do not think he would have wanted her tbh,,
1070,think she wa looking for limelight,,
1071,thank u tyler appreciate all u do,,
1072,alpha david is cracking me up,,
1073,people love to play puzzle,,
1074,billion of soul on earth animated in relentless time we focus on this,,
1075,got ta enjoy an entire town in denial how often do you witness that,,
1076,hopefully we focus on many thing,,
1077,and more tangled the web becomes i hope the trial is live so when the puzzle is put together we can have some clarity,,
1078,not everything is going to make sense but there is a reason for it and it is all going to come together one day,,
1079,lulu333 haha good that is what i thought too,,
1080,elisa katarina i meant him you and i are on the same page,,
1081,lulu333 i am not sure if u meant him or me but i am going with him,,
1082,lulu333 yeah probably,,
1083,elisa katarina troll,,
1084,you are always in my prayer tyler thank you for taking u to church along with a little dish on the stuff we follow in the world god bless you today and always,,
1085,i am not sure what girl that is you said they are asking the most information about but if it is the one whose parent were caught selling drug i wonder if they are trying to lane drug to the murder and seen she had some dealing maybe they are looking for deposit,,
1086,if i were bk i try to muddle the jury into a drug hit killing and try to get off try to say more then one person wa involved if no dna of bk wa at the house aside from the sheath maybe and acomplice killed them,,
1087,meg eldridge sorry dang type to text lol link drug to murder,,
1088,lane drug,,
1089,fox news suck,,
1090,a guest on ab yesterday said that there is a digital connection with two of the girl that is going to show motive,,
1091,nomad scavenger these have been my thought too about bk also his age and maturity wa beyond the the younger partying college crowd,,
1092,nomad scavenger the da doe not have to prove motive to get a conviction,,
1093,motive for what being rejected not one juror will be found who wa not at some point just not getting a wanted job will hark em back to that uncomfortable feeling not one that would cause intense psychotic hatred remember this accused ha a supportive family reference from the two accepting college he attended a serious concentrated effort to achieve result oriented personality w o any history of violence any crime and even if eventually being difficult to work with that is not reason enough to jump to considering him a maniac sociopath because he may have perceived himself out of these young very attractive and popular people is league would not be surprised if half of the campus boy felt the same way too motive that deranged would have to come from psychiatric diagnosis from both side and where is the history of him being treated for anything there maybe some it ha not been reported but depression is not a motive nor is being superficially rejected by very popular exceedingly attractive younger girl i am speculating obviously but if he is found guilty it is going to be based on the sheath cell record and dna blood left behind aka all the stuff that caught other famous diabolical sociopath i should think and would not he know this before attempting to wipe out at least 4 of the occupant of that house,,
1094,not ashleigh bannon her guest keep leaking information that is suspect,,
1095,i love how twitter folk are able to get stuff that is under gag elon for the win i guess lol,,
1096,tyler love all of your content but brother you need to get some rest you look very tired keep up the good reporting,,
1097,it wa a great stream tonight pastor thanks for jumping back on have a great evening,,
1098,interesting info,,
1099,blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah,,
1100,doyle stoner blah blah dealing blah blah failure to pay blah blah blah cartel visit early morning end of story,,
1101,joshua earp and you posted because,,
1102,and you posted because,,
1103,thank you tyler,,
1104,other person probably roommate that moved out,,
1105,hmm,,
1106,that is interesting,,
1107,twitter it is twitter tyler sorry i wa yelling at my phone a if you could hear me,,
1108,hi tyler hope you are well happy spring,,
1109,the dropbox logo falling on your head scared the hell out of me my phone wa on speaker thank you sir for this explicit lecture,,
1110,public health resource that wa fun,,
1111,it drop box now the box got ta drop,,
1112,this is very helpful sir just download on my pc,,
1113,thanks sir,,
1114,thank you,,
1115,very helpful thank you sir,,
1116,thank you sir for this lecture,,
1117,good job sir,,
1118,thank you nafisa,,
1119,thanks sir,,
1120,nice one sir,,
1121,many thanks okwori,,
1122,awesome,,
1123,thank you mustapha,,
1124,sarah abitare thank you for this interesting lecture taking u to another level,,
1125,i have always used dropbox especially for picture did not know about the referral option great,,
1126,thank you sir for this awesome lecture i can not see the link you provided for accessing the extra 500mb storage,,
1127,in the description,,
1128,it is in the description of the video sir i am looking at it now,,
1129,thank you sir for the wonderful lecture,,
1130,you are most welcome khadija,,
1131,this lecturer is quite enlightening thank you sir for making it easy always,,
1132,thanks and welcome,,
1133,i have been seeing the dropbox icon on my computer now it is time to maximize it use thanks for the eyeopener,,
1134,that is the way to go nnenna,,
1135,thank you sir,,
1136,most welcome ameerah,,
1137,thank you sir,,
1138,you are welcome ali,,
1139,wonderful presentation thank you sir,,
1140,you are most welcome farida,,
1141,awesome thank you sir,,
1142,you are most welcome mary,,
1143,nice now you make me want to retrieve my old account and start referring friend so i can earn more space thanks for another cool lecture,,
1144,go for it,,
1145,thank you for the enlightenment,,
1146,my pleasure,,
1147,thank you sir seamless lecture a usual,,
1148,most welcome hadiza,,
1149,an interesting lecture thank you sir,,
1150,glad you liked it elizabeth,,
1151,thank you sir,,
1152,most welcome abdullahi,,
1153,this is amazing,,
1154,glad you liked it oga steve,,
1155,great tutorial on dropbox,,
1156,thank you egbi,,
1157,thanks for the lecture do you think dropbox is a cheaper alternative to other storage apps,,
1158,what a great tool to minimize the thought of loosing one is lifetime of hard work the simplicity the reliability is second to none thanks for sharing this with u a lot ha been learnt kudos to you sir,,
1159,nyc sir,,
1160,nagode sir shamsu,,
1161,thanks for introducing me to drop box it is a great service app,,
1162,thank you for this sir it is indeed easy peasy,,
1163,very interesting introduction and lesson kudos sir what is the difference between drop box and google document is there any similarity,,
1164,public health resource it doe help thank you sir,,
1165,great question ufiene they are different application from different company dropbox allows you to store several different file which includes document while google ha something similar which is called google drive a for google doc it is an online word processor that can be used for collaboration and also storing your important information i hope this help,,
1166,thank you sir i have just downloaded the drop box pc and is simple and seamles to use the background make the lecture more interesting thank you sir,,
1167,glad it helped adam,,
1168,this is so insightful and educative thanks alot sir for this mentorship,,
1169,am glad you found it useful thanks hamza,,
1170,thanks for making the lecture practical and interesting,,
1171,you are so welcome huda,,
1172,nice,,
1173,ayuni,,
1174,thanks sir,,
1175,you are so welcome muhammad,,
1176,exciting lecture you make learning fun and easy i have downloaded the dropbox and saved some document there thank you so much,,
1177,nina,,
1178,thank you sir for the succinct video however i did not quite get how to collaborate with colleague using dropbox maybe a little more explanation would do,,
1179,great question dr with dropbox multiple individual can work on the same m word file for example and collaboratively complete work on a document there are lot of example i hope this help,,
1180,great stuff prof thanks,,
1181,my pleasure caleb,,
1182,you make it look easy and brief sir thank you,,
1183,so nice of you micheal,,
1184,just started using dropbox and this is the best and simplest explanation i have watched,,
1185,thank you so much rhoda i appreciate your feedback,,
1186,this is a good tool to store important document thank you sir,,
1187,that is correct sir let is keep it going,,
1188,awesome lecture sir i have used drop box for quite sometimes now save my credential and some secret message thank you sir,,
1189,nice one mc jones,,
1190,,,
1191,drop box here i come thank you sir,,
1192,i just got an extra 500mb using your link thank you sir can i keep getting extra 500mb upon referring people or it one off stuff,,
1193,awesome glad to know alice you can get up to a maximum of 16gb using the free version,,
1194,that is really cool will definitely utilize it henceforth thank you sir,,
1195,awesome glad to hear hauwa,,
1196,this is very interesting sir i am getting to hear about drop box for the first time and i really find this lecture educative on this subject,,
1197,wow this is amazing the lecture is so interesting i learnt a whole lot about dropbox thank you sir for the lecture,,
1198,very informative and interesting thank you,,
1199,this is good,,
1200,thank you,,
1201,wonderful explanation my storage work will be easy from today thank you sir,,
1202,am glad to know that this helped you,,
1203,this wa very nice and informative sir thank you new knowledge ha been gained,,
1204,awesome let is keep learning together chile,,
1205,very educating thank u sir,,
1206,glad to know i appreciate your feedback ma am,,
1207,dropbox is amazing and ha been saving life,,
1208,that is correct amira thank you for your feedback,,
1209,thank you sir for always making your lecture interesting for u please sir if i got you correctly the free version is just for 30days what happened after that sir,,
1210,no the basic version offer you 2gb for free forever the premium version is the one you can use free for 30 day and you start paying for space afterwards i hope this help,,
1211,nice lecture thank you very much sir,,
1212,thank you sir for this amazing information,,
1213,you are most welcome abdulmalik,,
1214,dr olokooba i keep learning new thing after watching your video thanks for impacting knowledge on u sir,,
1215,thank you sir enlightening,,
1216,glad to know olaewe,,
1217,good afternoon sir i really like the idear of not been scared when a device is out of battery why co one can access it real time and anywhere in the world that is a good one but must the device one is switching to have a dropbox folder already or when you click on a browser immediately you click on dropbox and fill in all your information what you have been working on pop up is that how it work i really like these term you use when giving your lecture hockey dockey ati choky and easy peasy lemon squeezy,,
1218,good day sir love this detailed guide i usually use google drive and one drive and icloud which are not very different from dropbox downloading dropbox with the link right away to add to my list of cloud thank you sir,,
1219,you are most welcome fatima,,
1220,thanks for the lecture sir,,
1221,thanks so much sir quit enriching value e,,
1222,i have to install this dropbox thank you for your lecture sir,,
1223,thank you sir,,
1224,i like the way you make your video they are actually fun with the box literally dropping kinda cool well done sir,,
1225,very educative sir thank you,,
1226,simple and straight to the point a always i like your practical method of explaining thing,,
1227,thank you sir,,
1228,thank you sir again but no quiz attached to this sir,,
1229,sir aside our file picture and document can we also store some downloaded application on dropbox,,
1230,yes you can store anything digital a long a you have space for it,,
1231,thanks for the lecture sir i wish i knew this before december 2021 when my computer were stolen thanks for eye opener,,
1232,sorry about that sir now that you know about this try to use it well and let is continue learning together,,
1233,thank you sir,,
1234,you are most welcome adam,,
1235,amazingly interesting lecture well done sir learning is fun,,
1236,thank you cynthia,,
1237,am excited i can not wait to start thank you sir for making learning fun and that dropbox sound effect is wow,,
1238,thank you ada,,
1239,thanks for this tutorial video you are very enthusiastic about what you do i am usually curious when i see people who enjoy what they do it is commendable okie dokie artichokie kind regard p i am a one drive and google drive man,,
1240,thank you so much emeka one drive and google drive are super awesome too thank you sir for your feedback,,
1241,having your file stored with zero fear of losing them is great innovation thanks for the lecture,,
1242,that is right busayo,,
1243,thank you very much for the knowledge more win,,
1244,thank you too ramatu,,
1245,thank you very much for this very interesting lecture sir,,
1246,thank you too oche,,
1247,thank you sir for this wonderful lecture,,
1248,you are welcome,,
1249,this is beautiful thank you sir for the update and lecture i will definitely start up this,,
1250,great to know olorunjedalo,,
1251,i have always used dropbox but never knew about the referral function really insightful and interesting lecture,,
1252,,,
1253,thanks sir but i need to know if nq security is a version of dropbox i had my document and file saved in it but i can hardly remember my user name and password used to set up the account,,
1254,wow this is really great a lecture you are the best sir,,
1255,thank you too john,,
1256,now it is imprinted on my brain box the guide through dropbox,,
1257,i use dropbox plus and it is an awesome backup software,,
1258,great,,
1259,well done sir i am a front sit bencher of the freebie club a give away of that your nuclear reactor will put me at par with putin thank you sir dropbox is a whole new beautiful world to me and u did justice to it,,
1260,thank you so much dennis i super appreciate your feedback,,
1261,thanks for the video sir i have used drop box for more than a decade and it ha been very helpful,,
1262,glad it helped stephen,,
1263,awesome lecture i have used drop box for quite sometimes now to save my credential and some of my secret message thank you sir,,
1264,very informative thanks so much sir,,
1265,thank u sir,,
1266,you are most welcome,,
1267,content what we signed up for,,
1268,thank you cynthia much appreciated,,
1269,,,
1270,,,
1271,thank you very much sir may allah reward you for disseminating knowledge,,
1272,amin and you too chief,,
1273,some funny move there sir,,
1274,yes o,,
1275,thank you sir for this always a pleasure learning from you,,
1276,thank you too aisha,,
1277,quite educating you are really impacting knowledge thanks so much sir,,
1278,you are welcome sir,,
1279,good video thanks sir,,
1280,a detailed explanation kudos sir,,
1281,thank you too,,
1282,the humor thanks for this sir,,
1283,,,
1284,thanks for the lecture and for the laugh,,
1285,thank you too ejiroghene,,
1286,,,
1287,wow this is superb,,
1288,thank you chief bokime,,
1289,this course is so practical i am learning fast,,
1290,yes am glad you are learning,,
1291,thank you for this lecture sir we are truly learning a lot,,
1292,am glad you are learning a lot let is keep learning together amina,,
1293,am a typical example like i said earlier theft of my laptop i padsnd phone flash hence no backup i had to use dropbox dropbox,,
1294,great,,
1295,thank you for this video,,
1296,you are welcome mutiat,,
1297,thank you sir,,
1298,,,
1299,thanks for the wonderful lecture i could not get the 500mb because i already have a dropbox account thanks for revealing the usefulness of dropbox,,
1300,awesome no worry chief when you share document with your friend you also receive some bonus,,
1301,thanks for this insight on drop box,,
1302,,,
1303,awesome session thank you so much sir i gained a lot of insight,,
1304,you are welcome opeoluwa,,
1305,informative from dr olorukooba a always,,
1306,thank you chief,,
1307,great awesome delivery a usual i have got to optimize the use of drop box thank you sir,,
1308,yes tajudeen it can save you ton of effort and time thank you for your feedback sir,,
1309,thank you sir for the lecture,,
1310,you are very much welcome ijeoma,,
1311,i love the graphic sir it is beautiful to see,,
1312,public health resource the pleasure is mine sir,,
1313,awesome am glad you love it thank you for your feedback victoria,,
1314,nice insight thank you sir,,
1315,thank you chief akpan,,
1316,sir assuming i send the link for my friend to subscribe if say 10 people subscribe will i get 500mb x 10,,
1317,absolutely,,
1318,dropbox is indeed great,,
1319,yes mercy it is,,
1320,sir you have made learning simple fun and interesting within a short time you pas on very important knowledge in an easy format weldone sir it a honor to be taught by a dynamic computer expert and a doctor,,
1321,thank you rakiya i appreciate your feedback,,
1322,funny and educative video thanks a lot,,
1323,thank you,,
1324,many thanks sir we really appreciate,,
1325,you are welcome maxwell,,
1326,thank you for a wonderful lecture my question is is it for every referral i get 500mb,,
1327,very well sir am getting the dropbox basic account thank you sir,,
1328,hajiya safiya you too you like free stuff ko,,
1329,yes safiya but it ha a maximum cap if you are using the basic dropbox account you can get up to a maximum of 16gb space enjoy,,
1330,for example i refer 3 people that is 500mb multiply by 3,,
1331,easy peasy interesting one thanks alot,,
1332,thank you dr tagwi,,
1333,thank you sir god bless you always,,
1334,amen and you to sir reuben,,
1335,very explicit lecture thank you,,
1336,thank you chief,,
1337,really helpful thank you sir,,
1338,awesome am glad you found this helpful hope,,
1339,with each lecture i get to find out that there wa a whole lot of information that i did not know keep doing the good work sir,,
1340,thank you tuamsen i appreciate your awesome feedback,,
1341,insightful thank you sir i hope the box that fell on your head did not cause much damage,,
1342,thanks adenike,,
1343,it is drop box now the box just dropped,,
1344,thank you for the lecture on how to save ourselves from the heartbreak of document loss,,
1345,you are most welcome chief lot,,
1346,thank you sir for this great lecture,,
1347,you are most welcome enajite,,
1348,thank you for the referral link and the detailed lecture i have created my dropbox account right after the lecture,,
1349,awesome this is great aishatu let is keep learning together,,
1350,thank you for thus lecture sir,,
1351,you are very much welcome ojeremi,,
1352,thank you sir a usual you made this video interesting enough to encourage me to install dropbox thanks for sharing sir it can only get bigger and better,,
1353,yes christie it only get better cheer,,
1354,nice lecture however google drive remains my favourite file storage platform,,
1355,awesome google drive is also a good alternative martha,,
1356,succinct presentation sir now am sure my document are safe thanks to drop box thank you sir,,
1357,glad you found it useful,,
1358,well done sir it wa an eye opening lecture,,
1359,awesome am glad you liked it hauwa,,
1360,very enlightening thanks for the presentation,,
1361,you are most welcome safeerah,,
1362,thank you sir for this highly educative video dropbox a great online tool,,
1363,yes unyime it is really great,,
1364,a good one already had and used up my 2gb guess an extra 500mb will be useful thank you sire,,
1365,glad to help cheer sir paul,,
1366,dramatic and explicit explanation well understood sir,,
1367,yeah really dramatic,,
1368,thank you so much for the elaborate presentation,,
1369,you are welcome always lukman,,
1370,thank sir,,
1371,interesting presentation thank you sir,,
1372,a very nice lecture bravo,,
1373,thank you my chairman,,
1374,very interesting dropbox will aid storage of our document thank you sir,,
1375,thank you sir,,
1376,you are very welcome,,
1377,very educative sir thank you and may allah swt reward you with the best of reward jazakumullahu khayr,,
1378,amin and you too ma am,,
1379,dropbox basic simplified a very explicit video thank you so much sir,,
1380,thank you my chairman,,
1381,my favourite epidemiology lecturer,,
1382,,,
1383,i love free stuff too,,
1384,,,
1385,very explicit welldone sir you have not shared your twitter handle,,
1386,yes o i wa waiting for my main guy musk to take over first so now that it is cool you will see me soon god willing,,
1387,thank you very much sir your video are always very helpful i have been reading the courseware and i really wa not able to comprehend it but with this i have been able to understand,,
